Username,Comment,Target
ANDY TORAJA ,"tapi sy heran knp tdk dari awal di persoalkan pd hal prabowo gibran pling lmbt mndaftar ke kpu .
smata mata ada apa bgtu",0
Juan Felix Michael ,jelas2.... pemungutan ulang dan 02 didiskualifikasi,0
818anakrantau ,"trus apa fungsi dkpp ketika ada pelanggaran tpi tidak memberi sanksi tegas
apa hanya sebatas teguran 🙏",1
ArayamirShop ,"Yakin Pemilu ulang, KPU sdh jadwalkan bulan Juni utk pemilu ulang",0
Faizi ,02 Nyungsep,0
MasWiyadi💧 ,"etiknya tdk berkaitan hukumnya 🤔🤔🤔
terus pelanggaran etik itu, yg dilanggar apa yahh...😬😬😬",1
Ghayul store 97 ,melanggar etik itu bukn brrty mlnggar hukum,1
edeilweiskesumawijaya ,artinya jelas ada pelanggaran etik yg dilakukan kpu yg seharsnya kpu menolak pendaftran cawapres yg tdk memenuhi syart,1
SagitariusBoys ♐ ,DKPP yg penting cuan boss 🤪,0
Hukum mati Koruptor ,02 dikualifikasi sudah jelas,0
Kang Ghosting ,PEMILU ULANG & 02 DI DISKUALIFIKASI 🙏,0
ghost_mistiz ,woii ....presiden dibawah 40 thn di luar negeri banyak,1
🐝 ,02 didiskualifikasi,0
Koran_Aceh ,"Jangan berbelit - belit dkpp, mengapa peringatan terakhir sampai tiga kali",1
Badar@umam ,positif gibran nga ikut pemilihan ualng,0
AN.YUN ,02.keok,0
Ndys ap ,"DKPP sdah sesuai tupoksinya..
siapa yg melanggar putusan MK maka mereka melanggar UUD..",1
BG DEX ,Semua takut karena surat presiden ke KPU tentang menyetujui pencalonan anaknya sebagai wapres...,0
not mee ,DKKP takut juga mediskualifikasi gibran makanya keterangnya bgtu.,0
lisa😍 ,udah jlas 02 di diskualifikasi,0
A.Diansyah ,putusan MK aja bisa meski Ketua MK sebelumnya di berhentikan. pasti bisa dg turunan turunan dan putusan putusan,1
inem_ngejrenx ,trus DKPP hanya pemantau etik KPU nya aja? kelanjutannya apa actionnya? Fungsinya lembaga ini apa?,1
Masniati ,yg jelas. pemilu d ulang lg,0
Antoeaditia ,01 03 pemilu ulang tanpa 02👍👍,0
ranger biru 💢 ,dkpp pihak 02,0
INDAR ,pemilu ulang dr awal semua ....,0
Masyarakat Kecil Peduli NKRI ,Didiskualifikasi 02 😎,0
fahmisukahar ,gak bisa menjelaskan krn takut sama joko,0
shvjbvbhg ,fix diskualifikasi 02 wassalam,0
Deva ,semua akarny samsul ya 😀,0
pak usu ,alhamdulilah dgn izin ALLAH udh terbukti pemungutan ulang,0
workshopakrilikparigi ,berawal dr keputusan paman 🤣🤣🤣,1
S.A CHANNEL ,DKPP keliatan masih was2 memberikan alasan2 konkrit ...dan ini sangat membuka tafsiran hukum MK..,1
#KUCIANG GAROENG# ,sangsi gk da 😳😳,1
trihardono37 ,"DKPP, KPU, Bawaslu pro djokowee",0
Bie_fm ,sumber pelanggaran nya dr MK ya harus di benerin di MK juga..,1
Khumiyatul ,dkpp takut bossnya,0
Soundrenaline Rumi ,apapun alasanya aturan tetep aturan yang wajib di taati oleh siapapun . itu intinya,1
Anandasyah ,risalah sidang ngga di publis? 😁,1
santoso ,dkpp (duit komisi piro pak),0
Rajanta Pabrian ,isinya 01 dan 03...hahahaa,0
Agam.bjgr ,kenapa ngk di permasalahkan sebelum pilpres ya.,0
telihan's ,"JIKA DLM PELANGGARAN ETIKA TERSEBUT TERNYATA MENIMBULKAN KERUGIAN, MAKA YG MERASA DIRUGIKAN BERHAK MELAKUKAN TUNTUTAN KE MK",1
BAYO SUTI SIGORAON ,"semua melanggar etik, tp kt harus maju terus itu intinya..hahahaaaakkk...",1
Khairul Amri ,kan ketua mk nya paman dia bang gimana sih mikir aja sendiri,1
Ai Gaming Project ,yg meloloskan gibran bermula dari MK ndk mungkin MK bakal membatalkan pencalonan gibran,1
thv2 ,"berubah rubah ihhh, ini kalau a ga bisa ganti b ganti lg c dst. kapan beresnya 🤣",1
F ,Kesimpulannya ini udh sahh😂,1
Dewi awan ,sebener nya ketua KPU nya juga ragu ke absahan pencalonan Gobran,0
Hasrul Andestapa ,tetap 02 menang,1
Noer Noer ,sudah jelaskan Prabowo tetap presiden Indonesia 🤣🤣🤣🤣🤣🤣🤣,1
A&A ,"Tidak ada pelanggaran *hukum* pencalonan Prabowo - Gibran. Fakta hukum itu terang, bukan asumsi.",1
lani ,"berarti ada celah dlm hukum di indonesia, baru ketahuan setelah di bobol",1
